ptp_trunk,condition,border_dist,new_pa_status,accuracy_type,new_pa_img_row_number_across_sessions,correct_mean,correct_sd,correct_n,ci_95,y_hat_i_c_ml
5c9a698...,schema_c,2,far_pa,mouse_error,2,130.8243450198488,121.81427195455227,2,168.8259675789577,NA
5c9a698...,schema_c,2,far_pa,mouse_error,3,57.827614111625806,0.9588763613172999,2,1.3289348357176118,NA
5c9a698...,schema_c,2,far_pa,mouse_error,4,21.147822262621332,2.7202166567491126,2,3.770027942796437,NA
5c9a698...,schema_c,2,far_pa,mouse_error,5,11.37712797271065,3.3607692196325782,2,4.6577885022022265,NA
5c9a698...,schema_c,2,far_pa,mouse_error,6,15.23629913937245,6.471725321242911,2,8.969353686829997,NA
5c9a698...,schema_c,2,far_pa,mouse_error,7,13.182628732277404,6.6367877001127935,2,9.198118472568645,NA
5c9a698...,schema_c,2,far_pa,mouse_error,8,12.428149590118228,4.4936118094232675,2,6.227828229627762,NA
5c9a698...,schema_c,2,far_pa,correct_exact,1,0,0,2,0,NA
5c9a698...,schema_c,2,far_pa,correct_exact,2,0,0,2,0,NA
5c9a698...,schema_c,2,far_pa,correct_exact,3,0,0,2,0,NA
5c9a698...,schema_c,2,far_pa,correct_exact,4,1,0,2,0,NA
5c9a698...,schema_c,2,far_pa,correct_exact,5,1,0,2,0,NA
5c9a698...,schema_c,2,far_pa,correct_exact,6,1,0,2,0,NA
5c9a698...,schema_c,2,far_pa,correct_exact,7,1,0,2,0,NA
5c9a698...,schema_c,2,far_pa,correct_exact,8,1,0,2,0,NA
5c9a698...,schema_c,2,far_pa,correct_one_square_away,1,0.5,0.7071067811865476,2,0.9799999999999999,NA
5c9a698...,schema_c,2,far_pa,correct_one_square_away,2,0.5,0.7071067811865476,2,0.9799999999999999,NA
5c9a698...,schema_c,2,far_pa,correct_one_square_away,3,1,0,2,0,NA
5c9a698...,schema_c,2,far_pa,correct_one_square_away,4,1,0,2,0,NA
5c9a698...,schema_c,2,far_pa,correct_one_square_away,5,1,0,2,0,NA
5c9a698...,schema_c,2,far_pa,correct_one_square_away,6,1,0,2,0,NA
5c9a698...,schema_c,2,far_pa,correct_one_square_away,7,1,0,2,0,NA
5c9a698...,schema_c,2,far_pa,correct_one_square_away,8,1,0,2,0,NA
5c9a698...,schema_c,3,both,mouse_error,1,144.7578325277254,NA,1,NA,NA
5c9a698...,schema_c,3,both,mouse_error,2,40.62656246995308,NA,1,NA,NA
